frame_id,time_seconds,joint0,joint1,joint2,joint3,joint4,joint5,joint6,joint7,joint8,joint9,joint10,joint11,joint12,joint13,joint14,joint15,joint16,joint17,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,F_hand,F_foot,hand_stress,foot_stress
0,0.0,"(876, 563)","(626, 657)","(626, 633)","(834, 516)","(834, 610)","(626, 657)","(709, 727)","(709, 751)","(709, 751)","(542, 774)","(626, 704)","(709, 751)","(626, 821)","(584, 868)","(751, 540)","(918, 540)","(709, 540)","(918, 563)",2.6292031932790554,2.4409582193049624,1.0584068664841588,0.8701618925100658,1.433932786727123,2.271430761079727,0.5578747361289298,-0.14088451181379424,197.96544205313725,390.63455794686274,19796.544205313723,39063.45579468628
5,0.16683333333333333,"(876.0, 563.0)","(607.8678779904512, 641.2765731651514)","(626.0, 633.0)","(834.0, 516.0)","(834.0, 610.0)","(607.8678779904512, 641.2765731651514)","(664.1073861131974, 743.6629294666471)","(709.0, 751.0)","(663.3518810294662, 767.0077866818618)","(542.0, 774.0)","(626.0, 704.0)","(663.3518810294662, 767.0077866818618)","(535.4592671426636, 853.670716148509)","(584.0, 868.0)","(751.0, 540.0)","(918.0, 540.0)","(709.0, 540.0)","(918.0, 563.0)",2.6292031932790554,2.073092066347337,1.0584068664841588,-0.9064968704587395,1.5132406414719106,2.1663455244179506,0.6371825908737174,0.882597653312994,163.4126522141414,425.1873477858586,16341.265221414138,42518.73477858586
10,0.33366666666666667,"(876.0, 563.0)","(607.8678779904512, 641.2765731651514)","(626.0, 633.0)","(834.0, 516.0)","(834.0, 610.0)","(607.8678779904512, 641.2765731651514)","(664.1073861131974, 743.6629294666471)","(709.0, 751.0)","(619.114409927449, 782.9152110647777)","(542.0, 774.0)","(626.0, 704.0)","(663.3518810294662, 767.0077866818618)","(482.57391128147964, 807.810721213534)","(476.082650216846, 885.6024320984457)","(751.0, 540.0)","(918.0, 540.0)","(709.0, 540.0)","(918.0, 563.0)",2.6292031932790554,2.073092066347337,1.0584068664841588,-0.9064968704587395,1.6858955307143255,1.7927840279414056,0.8098374801161323,-1.2655573695116604,460.23449351802225,128.36550648197777,46023.44935180222,12836.550648197777
15,0.5005,"(876.0, 563.0)","(607.8678779904512, 641.2765731651514)","(626.0, 633.0)","(834.0, 516.0)","(834.0, 610.0)","(607.8678779904512, 641.2765731651514)","(664.1073861131974, 743.6629294666471)","(684.3666312920706, 564.1867318788646)","(619.114409927449, 782.9152110647777)","(542.0, 774.0)","(626.0, 704.0)","(663.3518810294662, 767.0077866818618)","(482.57391128147964, 807.810721213534)","(476.082650216846, 885.6024320984457)","(751.0, 540.0)","(918.0, 540.0)","(709.0, 540.0)","(918.0, 563.0)",2.6292031932790554,2.073092066347337,1.0584068664841588,0.6146997827796161,1.6858955307143255,1.7927840279414056,0.8098374801161323,-1.2655573695116604,454.74486376112486,133.85513623887516,45474.48637611249,13385.513623887517
20,0.6673333333333333,"(876.0, 563.0)","(607.8678779904512, 641.2765731651514)","(626.0, 633.0)","(834.0, 516.0)","(834.0, 610.0)","(607.8678779904512, 641.2765731651514)","(664.1073861131974, 743.6629294666471)","(684.3666312920706, 564.1867318788646)","(619.114409927449, 782.9152110647777)","(542.0, 774.0)","(626.0, 704.0)","(663.3518810294662, 767.0077866818618)","(482.57391128147964, 807.810721213534)","(476.082650216846, 885.6024320984457)","(751.0, 540.0)","(918.0, 540.0)","(709.0, 540.0)","(918.0, 563.0)",2.6292031932790554,2.073092066347337,1.0584068664841588,0.6146997827796161,1.6858955307143255,1.7927840279414056,0.8098374801161323,-1.2655573695116604,454.74486376112486,133.85513623887516,45474.48637611249,13385.513623887517
25,0.8341666666666666,"(876.0, 563.0)","(607.8678779904512, 641.2765731651514)","(581.1073861131974, 649.6629294666471)","(834.0, 516.0)","(834.0, 610.0)","(562.9752641036487, 657.9395026317985)","(664.1073861131974, 743.6629294666471)","(684.3666312920706, 564.1867318788646)","(619.114409927449, 782.9152110647777)","(542.0, 774.0)","(626.0, 704.0)","(663.3518810294662, 767.0077866818618)","(482.57391128147964, 807.810721213534)","(476.082650216846, 885.6024320984457)","(751.0, 540.0)","(918.0, 540.0)","(709.0, 540.0)","(918.0, 563.0)",2.655377468878938,2.4384714674741375,1.0845811420840414,0.9800791839064167,1.6858955307143255,1.7927840279414056,0.8098374801161323,-1.2655573695116604,461.6782490359525,126.92175096404753,46167.82490359525,12692.175096404753
30,1.001,"(876.0, 563.0)","(726.760960299988, 469.0632316989987)","(726.760960299988, 445.0632316989987)","(834.0, 516.0)","(710.0971662680834, 502.55658329520134)","(754.276957260973, 437.3320181822883)","(631.4812754308866, 494.3267369438896)","(560.4637975601538, 456.74331517406597)","(673.4912610646336, 720.2082891150882)","(542.0, 774.0)","(626.0, 704.0)","(701.0072580256186, 688.4770755983778)","(482.57391128147964, 807.810721213534)","(476.082650216846, 885.6024320984457)","(751.0, 540.0)","(918.0, 540.0)","(709.0, 540.0)","(918.0, 563.0)",0.5844051037237059,0.434552552142883,0.47632820961127437,-2.220295591947795,1.1824787072860663,2.0708067786855917,0.3064206566878731,-0.9875346187674743,166.4305087931558,422.1694912068442,16643.050879315582,42216.94912068442
35,1.1678333333333333,"(794.1071519018303, 657.4381354663999)","(617.3521152408333, 595.2325806821091)","(608.6233830741824, 617.9317159499368)","(766.6011405745923, 844.0509011543088)","(710.0971662680834, 502.55658329520134)","(689.7607260886209, 546.8384376987515)","(631.4812754308866, 494.3267369438896)","(613.3491534213379, 502.60331010904105)","(673.4912610646336, 720.2082891150882)","(542.0, 774.0)","(626.0, 704.0)","(701.0072580256186, 688.4770755983778)","(482.57391128147964, 807.810721213534)","(476.082650216846, 885.6024320984457)","(751.0, 540.0)","(808.5911549408453, 666.1693489831102)","(709.0, 540.0)","(918.0, 563.0)",0.9609781995795261,2.4082071977477795,-0.4458428082553334,1.9799948330909176,1.1824787072860663,2.0708067786855917,0.3064206566878731,-0.9875346187674743,222.11730474297596,366.48269525702403,22211.730474297594,36648.2695257024
40,1.3346666666666667,"(823.1146441388161, 517.140005065025)","(701.391601399789, 391.4720232473133)","(692.0077264483529, 414.92666359887227)","(766.6011405745923, 844.0509011543088)","(710.0971662680834, 502.55658329520134)","(746.2842152865917, 374.80909378066616)","(631.4812754308866, 494.3267369438896)","(550.9795603097718, 502.7873076571084)","(673.4912610646336, 720.2082891150882)","(542.0, 774.0)","(626.0, 704.0)","(701.0072580256186, 688.4770755983778)","(482.57391128147964, 807.810721213534)","(476.082650216846, 885.6024320984457)","(779.2519871532545, 399.04672681383965)","(882.4912610646336, 509.2082891150882)","(709.0, 540.0)","(865.1146441388161, 517.140005065025)",1.398688951102786,0.8055161878632595,-0.008132056732073512,0.7008025819790946,1.1824787072860663,2.0708067786855917,0.3064206566878731,-0.9875346187674743,237.447223157915,351.152776842085,23744.7223157915,35115.2776842085
45,1.5015,"(804.9825221292673, 501.41657823017636)","(708.6288382904393, 453.3398048641501)","(644.8681122018183, 539.5013671653986)","(766.6011405745923, 844.0509011543088)","(710.0971662680834, 502.55658329520134)","(791.1768291733943, 358.146164314019)","(631.4812754308866, 494.3267369438896)","(550.9795603097718, 502.7873076571084)","(673.4912610646336, 720.2082891150882)","(542.0, 774.0)","(626.0, 704.0)","(701.0072580256186, 688.4770755983778)","(482.57391128147964, 807.810721213534)","(476.082650216846, 885.6024320984457)","(761.875370227437, 383.97844276377646)","(864.3591390550848, 493.4848622802396)","(710.3911329770549, 430.0224352468189)","(892.6306410998011, 485.4087915483146)",1.190535631220764,0.7060891018411328,-0.21628537661409553,0.6013754959569679,1.1824787072860663,2.0708067786855917,0.3064206566878731,-0.9875346187674743,222.83993717343216,365.76006282656783,22283.993717343215,36576.00628265678
