frame_id,time_seconds,joint0,joint1,joint2,joint3,joint4,joint5,joint6,joint7,joint8,joint9,joint10,joint11,joint12,joint13,joint14,joint15,joint16,joint17,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,F_hand,F_foot,hand_stress,foot_stress
0,0.0,"(343, 281)","(383, 328)","(409, 328)","(462, 375)","(462, 375)","(343, 328)","(290, 281)","(251, 258)","(422, 469)","(422, 586)","(475, 680)","(383, 493)","(409, 586)","(489, 657)","(383, 305)","(356, 281)","(383, 305)","(356, 281)",0.7254700082762402,2.416122645313553,0.7254700082762402,-0.19262612065685136,0.0,0.272609819980622,-2.6281936025064736,-0.5723205634920747,154.34169818959825,434.2583018104018,15434.169818959825,43425.83018104018
5,0.16683333333333333,"(343, 281)","(383, 328)","(409, 328)","(462, 375)","(462, 352)","(343, 328)","(277, 281)","(251, 234)","(422, 469)","(449, 563)","(475, 680)","(396, 493)","(449, 563)","(528, 563)","(383, 305)","(356, 281)","(396, 305)","(356, 281)",0.7254700082762402,2.5227778868521082,-0.8453263185186564,0.44669137195781694,2.8618885011261623,0.6480568859305144,-0.06103520658968886,-0.9227394408643822,216.32452730102986,372.27547269897013,21632.452730102985,37227.54726989701
10,0.33366666666666667,"(343, 281)","(383, 328)","(409, 328)","(462, 375)","(462, 375)","(343, 305)","(277, 281)","(237, 258)","(409, 446)","(436, 563)","(475, 680)","(383, 469)","(436, 563)","(528, 540)","(383, 305)","(356, 281)","(383, 281)","(356, 281)",0.7254700082762402,2.7928216500058864,0.7254700082762402,0.17306327623050377,2.9147938055359073,0.5133990510833194,0.09495170634275629,-1.3023759388384413,174.72920339130042,413.8707966086996,17472.92033913004,41387.07966086996
15,0.5005,"(343, 281)","(370, 328)","(409, 328)","(449, 375)","(462, 352)","(343, 305)","(264, 281)","(237, 258)","(396, 446)","(422, 540)","(449, 610)","(370, 469)","(370, 586)","(422, 610)","(383, 305)","(343, 281)","(383, 281)","(343, 281)",0.8656849786804646,2.8466555947409864,-1.2195626611734598,0.41063111883640424,2.871743497651324,0.0,0.09828161538669455,-1.1383885512243588,214.1353787210017,374.4646212789983,21413.53787210017,37446.46212789983
20,0.6673333333333333,"(343, 281)","(356, 328)","(396, 328)","(449, 375)","(462, 352)","(330, 305)","(277, 281)","(237, 281)","(383, 446)","(422, 516)","(409, 586)","(330, 446)","(290, 563)","(370, 610)","(383, 305)","(343, 281)","(383, 281)","(343, 281)",0.7254700082762402,2.716387634610175,-1.3597776315776842,2.716387634610175,2.6332820285789658,2.8121696154776457,2.4496597024096856,1.7725509079085138,-37.195167408434585,625.7951674084346,-3719.5167408434586,62579.516740843465
25,0.8341666666666666,"(343, 281)","(356, 328)","(396, 328)","(436, 375)","(436, 352)","(330, 305)","(264, 281)","(237, 258)","(370, 446)","(409, 516)","(409, 586)","(330, 446)","(277, 540)","(317, 657)","(383, 305)","(343, 281)","(383, 281)","(343, 281)",0.8656849786804646,2.7928216500058864,-0.705111348114432,0.3567971741013043,2.6332820285789658,2.6281936025064736,2.6332820285789658,2.298770564394326,83.16975620858607,505.43024379141394,8316.975620858606,50543.024379141396
30,1.001,"(343, 281)","(356, 328)","(396, 328)","(436, 375)","(462, 352)","(317, 305)","(264, 281)","(237, 258)","(370, 469)","(409, 516)","(409, 586)","(330, 469)","(290, 563)","(290, 657)","(383, 305)","(343, 281)","(383, 305)","(356, 305)",0.8656849786804646,2.716387634610175,-1.5516576741611816,0.28036315870559303,2.4489508103804885,2.7392715557293523,2.4489508103804885,2.7392715557293523,155.63622075493942,432.9637792450606,15563.62207549394,43296.37792450606
35,1.1678333333333333,"(343, 281)","(356, 352)","(383, 352)","(436, 375)","(462, 352)","(317, 328)","(251, 281)","(237, 258)","(370, 469)","(409, 516)","(409, 586)","(317, 469)","(290, 540)","(290, 657)","(383, 305)","(343, 281)","(383, 305)","(343, 305)",0.4094372095261427,2.5227778868521082,-2.0079054433155035,0.4051927191679643,2.4489508103804885,2.7781995200945624,2.4489508103804885,2.7781995200945624,122.36422197495202,466.23577802504803,12236.422197495202,46623.577802504806
40,1.3346666666666667,"(343, 281)","(343, 352)","(383, 352)","(422, 375)","(449, 352)","(304, 328)","(251, 281)","(237, 258)","(356, 469)","(409, 516)","(422, 610)","(317, 469)","(290, 540)","(304, 633)","(383, 305)","(343, 281)","(370, 328)","(343, 305)",0.5328438876193888,2.416122645313553,-1.9031805882851933,0.29853747762940896,2.296266335071137,2.7781995200945624,-0.7079001730217129,2.6287838101780947,96.5489456136769,492.05105438632313,9654.89456136769,49205.10543863231
45,1.5015,"(343, 281)","(343, 352)","(383, 352)","(436, 375)","(475, 352)","(304, 328)","(251, 281)","(237, 258)","(356, 469)","(396, 516)","(409, 610)","(317, 493)","(277, 540)","(290, 633)","(383, 305)","(343, 281)","(370, 328)","(330, 328)",0.4094372095261427,2.416122645313553,-2.1993115564442616,0.29853747762940896,2.436481305475361,2.436481305475361,-0.567685202617489,2.2975962899551483,189.8694349468938,398.73056505310626,18986.943494689378,39873.056505310626
